Group,Gender,Age,WordProcPretest,SpreadsheetsPretest,PresentationPretest,DatabasesPretest,WordProcPosttest,SpreadsheetsPosttest,PresentationPosttest,DatabasesPosttest,FinalExamination
0,M,19,55,44,44,44,73.00,90.00,68.00,51.00,87.17
0,M,19,66,33,44,44,50.00,76.00,58.00,27.00,81.50
0,F,19,33,33,33,44,74.00,93.00,70.00,44.00,84.92
0,F,19,44,44,44,55,57.00,46.00,53.00,25.00,87.42
0,M,19,44,66,44,44,37.00,49.00,61.00,28.00,81.42
0,F,19,66,44,33,22,61.00,82.00,80.00,90.00,91.00
0,M,19,11,11,55,66,97.00,74.00,78.00,30.00,88.42
0,M,19,55,55,55,55,92.00,100.00,83.00,50.00,94.92
0,F,19,22,22,22,55,35.00,95.00,80.00,44.00,85.92
0,F,19,22,55,55,55,50.00,55.00,68.00,84.00,92.33
0,M,19,44,33,22,44,64.00,43.00,83.00,51.00,89.25
0,F,19,33,44,33,44,47.00,88.00,67.00,82.00,80.67
0,F,19,44,33,33,33,62.00,25.00,95.00,54.00,94.17
0,F,19,66,55,44,44,65.00,85.00,63.00,19.00,84.67
0,M,19,33,44,11,66,47.00,90.00,65.00,51.00,92.50
0,M,19,44,33,44,22,55.00,55.00,65.00,14.00,89.67
0,M,19,44,66,44,55,62.00,89.00,70.00,47.00,90.08
0,M,19,44,55,44,55,67.00,86.00,52.00,38.00,68.42
0,F,19,22,44,44,44,60.00,18.00,59.00,41.00,98.25
0,F,19,44,55,44,66,21.00,43.00,62.00,46.00,95.00
0,M,19,55,33,33,33,46.00,46.00,51.00,21.00,81.42
0,M,19,44,44,66,55,77.00,44.00,68.00,5.00,97.00
0,M,19,33,66,55,77,39.00,31.00,58.00,1.00,93.25
0,F,19,33,55,44,55,95.00,100.00,100.00,90.00,75.00
0,M,19,77,55,33,44,70.00,90.00,90.00,50.00,43.33
0,F,19,22,55,33,44,75.00,90.00,85.00,75.00,76.67
0,F,19,66,66,55,88,70.00,15.00,85.00,60.00,60.00
0,M,19,40,20,30,10,60.00,65.00,100.00,55.00,53.33
0,F,19,33,44,33,33,60.00,100.00,85.00,70.00,73.33
0,M,19,55,77,44,55,65.00,80.00,100.00,70.00,76.67
0,M,19,60,50,50,,35.00,40.00,75.00,70.00,61.67
0,F,19,33,55,33,66,45.00,40.00,85.00,50.00,75.00
0,F,19,33,13,11,44,45.00,35.00,95.00,55.00,60.00
0,F,19,55,77,55,77,85.00,80.00,65.00,50.00,75.00
0,M,19,33,44,44,66,50.00,45.00,90.00,60.00,63.33
0,F,19,55,55,33,77,80.00,80.00,60.00,60.00,86.67
0,F,19,33,55,33,44,60.00,60.00,90.00,45.00,56.67
0,M,19,55,55,55,66,60.00,30.00,80.00,65.00,71.67
0,F,19,55,44,55,55,65.00,35.00,70.00,55.00,65.00
0,F,19,33,44,44,44,90.00,40.00,95.00,90.00,75.00
0,F,19,55,66,44,33,70.00,75.00,70.00,80.00,60.00
0,F,19,77,77,66,77,85.00,80.00,80.00,75.00,56.67
0,F,19,66,66,88,55,80.00,95.00,80.00,60.00,73.33
0,M,19,66,66,55,66,90.00,60.00,90.00,80.00,83.33
0,M,19,66,77,33,33,50.00,30.00,70.00,25.00,66.67
0,F,19,33,55,55,44,65.00,65.00,80.00,25.00,83.33
0,F,19,55,66,66,55,75.00,60.00,80.00,25.00,81.67
0,M,19,44,55,33,44,70.00,30.00,75.00,60.00,86.67
0,F,19,66,55,66,66,70.00,100.00,85.00,70.00,76.67
0,F,19,66,77,33,55,70.00,25.00,85.00,65.00,65.00
0,M,19,55,66,55,77,85.00,85.00,80.00,90.00,85.00
0,M,19,11,44,44,33,70.00,55.00,95.00,60.00,75.00
0,F,19,66,55,44,66,60.00,60.00,60.00,35.00,76.67
0,F,19,55,44,55,66,85.00,75.00,60.00,70.00,66.67
0,M,19,44,66,33,54,85.00,27.50,55.00,35.00,80.00
0,F,19,66,44,66,66,70.00,85.00,80.00,65.00,71.67
0,F,19,66,66,55,88,85.00,15.00,85.00,55.00,73.33
0,F,19,55,66,44,33,70.00,85.00,65.00,70.00,55.00
0,M,19,33,44,44,55,60.00,55.00,70.00,65.00,66.67
0,F,19,55,55,55,55,75.00,100.00,70.00,55.00,76.67
0,M,19,55,55,66,66,75.00,75.00,55.00,25.00,85.00
0,M,19,33,66,33,44,60.00,70.00,75.00,60.00,81.67
0,F,19,66,55,33,44,85.00,100.00,90.00,75.00,83.33
0,F,19,44,44,33,11,5.00,5.00,70.00,70.00,65.00
0,M,19,66,66,66,66,65.00,45.00,90.00,5.00,65.00
0,F,19,33,33,22,33,60.00,55.00,85.00,55.00,50.00
0,M,19,44,88,44,66,45.00,75.00,80.00,45.00,85.00
0,M,19,66,22,66,88,65.00,20.00,85.00,60.00,50.00
0,F,19,66,44,44,55,65.00,80.00,85.00,60.00,76.67
0,F,19,66,44,33,33,60.00,55.00,80.00,40.00,63.33
0,F,19,44,11,55,22,65.00,85.00,60.00,70.00,46.67
0,F,19,33,44,44,33,85.00,85.00,80.00,70.00,71.67
0,M,19,33,22,44,55,40.00,35.00,80.00,25.00,65.00
0,M,19,33,44,33,33,40.00,40.00,80.00,50.00,51.67
0,M,19,55,77,55,100,65.00,35.00,70.00,40.00,53.33
0,F,19,66,33,22,25,65.00,20.00,70.00,45.00,51.67
1,M,19,22,55,44,66,66.67,50.00,83.33,33.33,53.33
1,F,19,33,33,44,44,100.00,100.00,100.00,66.67,86.67
1,M,19,44,44,66,77,91.67,75.00,100.00,83.33,53.33
1,F,19,44,44,33,66,75.00,91.67,100.00,25.00,60.00
1,F,19,22,44,66,44,83.33,100.00,75.00,100.00,53.33
1,F,19,88,77,66,77,91.67,100.00,100.00,3.33,53.33
1,M,19,33,33,33,44,75.00,75.00,91.67,33.33,60.00
1,F,19,77,77,44,44,100.00,100.00,100.00,91.67,86.67
1,M,19,22,44,33,22,50.00,83.33,91.67,33.33,66.67
1,M,19,55,66,44,55,50.00,91.67,83.33,3.33,73.33
1,M,19,55,44,33,44,75.00,91.67,83.33,91.67,66.67
1,M,19,66,33,44,100,83.33,100.00,100.00,66.67,60.00
1,F,19,55,55,44,77,91.67,100.00,100.00,91.67,73.33
1,F,19,77,33,44,66,58.33,100.00,100.00,3.33,66.67
1,F,19,55,77,44,66,66.67,58.33,91.67,3.33,73.33
1,M,19,44,44,55,55,66.67,75.00,100.00,25.00,60.00
1,M,19,33,66,44,55,83.33,100.00,100.00,100.00,66.67
1,M,19,66,44,44,88,91.67,91.67,91.67,58.33,40.00
1,F,19,66,66,77,77,83.33,25.00,91.67,8.33,46.67
1,F,19,22,66,55,44,83.33,83.33,100.00,58.33,80.00
1,M,19,44,44,33,66,83.33,66.67,66.67,16.67,66.67
1,M,19,77,44,55,66,91.67,100.00,100.00,83.33,66.67
1,M,19,77,77,55,77,100.00,100.00,100.00,58.33,66.67
1,F,19,22,22,55,33,91.67,100.00,100.00,66.67,80.00
1,F,19,22,33,44,66,83.33,3.33,100.00,83.33,80.00
1,F,19,44,44,33,22,91.67,83.33,100.00,58.33,73.33
1,F,19,11,22,33,44,83.33,83.33,83.33,16.67,60.00
1,M,19,11,22,44,22,58.33,66.67,91.67,16.67,53.33
1,F,19,55,55,33,77,100.00,75.00,100.00,50.00,60.00
1,M,19,22,33,55,44,66.67,100.00,83.33,58.33,66.67
1,F,19,55,44,33,33,100.00,100.00,100.00,100.00,86.67
1,M,19,66,44,55,88,100.00,91.67,91.67,66.67,60.00
1,F,19,11,55,44,66,100.00,100.00,100.00,100.00,80.00
1,F,19,33,33,33,55,75.00,91.67,100.00,58.33,80.00
1,F,19,22,55,22,66,50.00,33.33,100.00,91.67,73.33
1,M,19,55,44,33,44,91.67,100.00,91.67,100.00,73.33
1,M,19,66,44,44,44,83.33,91.67,100.00,33.33,80.00
1,M,19,66,66,33,33,75.00,100.00,91.67,91.67,93.33
1,M,19,44,55,44,66,91.67,100.00,91.67,,66.67
1,M,19,44,44,55,55,50.00,83.33,100.00,75.00,53.33
1,M,19,66,66,55,88,58.33,100.00,100.00,66.67,66.67
1,F,19,0,33,22,55,75.00,83.33,100.00,66.67,60.00
1,M,19,66,55,55,33,100.00,100.00,100.00,50.00,86.67
